epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,21875.6,1.18047,0.62515,1.03458,0.881,0.8309,0.91012,0.58882,1.21453,0.61078,1.04774,0.0043075,0.0043075,0.0043075
117,22061.5,1.17832,0.62795,1.03363,0.87332,0.84966,0.91053,0.58737,1.21487,0.60915,1.04486,0.004258,0.004258,0.004258
118,22247.5,1.1779,0.62239,1.03553,0.88401,0.8352,0.91038,0.58631,1.21328,0.61252,1.04695,0.0042085,0.0042085,0.0042085
119,22433.8,1.16622,0.61937,1.02882,0.88215,0.84436,0.91171,0.58735,1.20462,0.60968,1.04257,0.004159,0.004159,0.004159
120,22619.6,1.1609,0.61444,1.02797,0.87915,0.85019,0.91355,0.59089,1.20455,0.60226,1.04307,0.0041095,0.0041095,0.0041095
121,22805.7,1.17043,0.61626,1.03535,0.88495,0.83377,0.9103,0.5874,1.20981,0.60432,1.04443,0.00406,0.00406,0.00406
122,22991.1,1.1564,0.61103,1.02387,0.87852,0.83907,0.91028,0.58413,1.21369,0.60834,1.04768,0.0040105,0.0040105,0.0040105
123,23178.3,1.16986,0.61128,1.02953,0.87347,0.85071,0.9108,0.58484,1.21049,0.60652,1.04697,0.003961,0.003961,0.003961
124,23363.5,1.15497,0.60683,1.02332,0.881,0.84658,0.9092,0.58517,1.20645,0.61271,1.04506,0.0039115,0.0039115,0.0039115
125,23548,1.15938,0.60878,1.02521,0.88735,0.83813,0.90957,0.58506,1.20691,0.61361,1.04432,0.003862,0.003862,0.003862
126,23733.6,1.14947,0.60153,1.01853,0.8876,0.83611,0.90887,0.58522,1.2104,0.61393,1.04506,0.0038125,0.0038125,0.0038125
127,23921.2,1.14417,0.60103,1.01791,0.88651,0.8353,0.90925,0.58434,1.20685,0.60912,1.04389,0.003763,0.003763,0.003763
128,24109.9,1.14367,0.59827,1.02171,0.88374,0.83377,0.90986,0.5836,1.20892,0.61102,1.04849,0.0037135,0.0037135,0.0037135
129,24295.4,1.13752,0.59816,1.01908,0.87697,0.84066,0.90869,0.58496,1.20652,0.60949,1.0467,0.003664,0.003664,0.003664
130,24480.2,1.15629,0.6088,1.02704,0.8899,0.82636,0.90463,0.58512,1.20757,0.61327,1.04679,0.0036145,0.0036145,0.0036145
131,24664.5,1.14054,0.59598,1.01176,0.86576,0.84701,0.90561,0.58477,1.21102,0.61738,1.04566,0.003565,0.003565,0.003565
132,24849.1,1.1461,0.59929,1.02081,0.88037,0.83372,0.90543,0.58432,1.21224,0.61666,1.04731,0.0035155,0.0035155,0.0035155
133,25033.7,1.13595,0.59759,1.01837,0.87689,0.84383,0.90898,0.58595,1.20927,0.6118,1.04651,0.003466,0.003466,0.003466
134,25218.4,1.13313,0.59995,1.02198,0.88995,0.83476,0.91028,0.58851,1.20653,0.60979,1.04652,0.0034165,0.0034165,0.0034165
135,25402.4,1.12771,0.59187,1.01266,0.89018,0.82848,0.90877,0.58735,1.2036,0.61228,1.0463,0.003367,0.003367,0.003367
136,25587.3,1.12016,0.58622,1.01119,0.88932,0.82848,0.90579,0.58706,1.20359,0.61589,1.04606,0.0033175,0.0033175,0.0033175
137,25774.8,1.11906,0.59147,1.01352,0.88379,0.8343,0.90691,0.5853,1.2044,0.60973,1.04802,0.003268,0.003268,0.003268
138,25964.1,1.10746,0.58155,1.013,0.88688,0.83642,0.9063,0.58552,1.20147,0.61238,1.04749,0.0032185,0.0032185,0.0032185
139,26149.3,1.12313,0.5795,1.0168,0.87663,0.84119,0.90598,0.58787,1.19846,0.6118,1.04538,0.003169,0.003169,0.003169
140,26334.3,1.12019,0.58992,1.01433,0.86475,0.85019,0.9045,0.58692,1.19878,0.61123,1.0448,0.0031195,0.0031195,0.0031195
141,26519.4,1.10888,0.58085,1.00837,0.89634,0.82583,0.90484,0.58523,1.20197,0.61216,1.04442,0.00307,0.00307,0.00307
142,26704.1,1.10907,0.57534,1.00885,0.90076,0.82164,0.90607,0.58725,1.20121,0.61084,1.04208,0.0030205,0.0030205,0.0030205
143,26891.8,1.10568,0.57851,1.00924,0.90241,0.82478,0.90678,0.58882,1.19813,0.60643,1.04188,0.002971,0.002971,0.002971
144,27076.1,1.10773,0.57988,1.00907,0.88978,0.83325,0.90756,0.58973,1.19919,0.60725,1.04386,0.0029215,0.0029215,0.0029215
145,27260.6,1.09942,0.57471,1.00292,0.89769,0.83272,0.90866,0.58806,1.19742,0.60666,1.0428,0.002872,0.002872,0.002872
146,27445.1,1.08602,0.56116,0.99809,0.8903,0.84208,0.90909,0.58783,1.19817,0.60876,1.04402,0.0028225,0.0028225,0.0028225
147,27630.2,1.09592,0.57063,0.99913,0.89115,0.83907,0.90998,0.58793,1.19973,0.60799,1.04356,0.002773,0.002773,0.002773
148,27818.7,1.08452,0.57092,0.99675,0.8873,0.8419,0.90903,0.58602,1.20436,0.60762,1.04766,0.0027235,0.0027235,0.0027235
149,28004.2,1.09879,0.56788,1.00085,0.87622,0.84691,0.90786,0.58629,1.20447,0.60725,1.0465,0.002674,0.002674,0.002674
150,28193.4,1.10028,0.56757,1.00515,0.88697,0.83501,0.90668,0.58561,1.20652,0.60764,1.04481,0.0026245,0.0026245,0.0026245
151,28379.5,1.08095,0.56637,0.99695,0.8771,0.84066,0.90489,0.58459,1.20853,0.60775,1.04599,0.002575,0.002575,0.002575
152,28564.8,1.08057,0.55929,0.99263,0.88124,0.83801,0.90467,0.58177,1.21119,0.60805,1.04764,0.0025255,0.0025255,0.0025255
153,28750,1.08674,0.56025,0.99311,0.87708,0.8386,0.90435,0.58135,1.21061,0.60747,1.04917,0.002476,0.002476,0.002476
154,28934.2,1.08711,0.56437,1.00206,0.88366,0.83483,0.90514,0.58363,1.20977,0.6086,1.0493,0.0024265,0.0024265,0.0024265
155,29118.7,1.08243,0.56371,1.00065,0.87161,0.84816,0.90518,0.58239,1.2097,0.6065,1.0493,0.002377,0.002377,0.002377
156,29303.9,1.07624,0.55824,0.98911,0.87266,0.84277,0.90489,0.5829,1.20909,0.60253,1.04824,0.0023275,0.0023275,0.0023275
157,29490.9,1.0785,0.55723,0.99339,0.87222,0.8492,0.90618,0.58402,1.20787,0.60172,1.04711,0.002278,0.002278,0.002278
158,29678.3,1.07565,0.55837,0.9941,0.87519,0.84754,0.90655,0.58382,1.20972,0.60192,1.04615,0.0022285,0.0022285,0.0022285
159,29866.7,1.06676,0.55417,0.99268,0.8751,0.84648,0.90563,0.58403,1.20762,0.60454,1.04575,0.002179,0.002179,0.002179
160,30055.8,1.06938,0.56748,0.9901,0.86993,0.85019,0.90622,0.58351,1.20761,0.6071,1.0459,0.0021295,0.0021295,0.0021295
161,30244.8,1.06733,0.55137,0.98587,0.87145,0.84754,0.90538,0.58438,1.20623,0.6074,1.0454,0.00208,0.00208,0.00208
162,30434,1.0505,0.54609,0.98731,0.87518,0.84542,0.90523,0.5844,1.20547,0.60867,1.04664,0.0020305,0.0020305,0.0020305
163,30621.5,1.05151,0.54833,0.98712,0.87793,0.84523,0.90695,0.58419,1.20552,0.6092,1.04702,0.001981,0.001981,0.001981
164,30805.7,1.06019,0.54949,0.99147,0.8814,0.84188,0.90668,0.58498,1.20661,0.60963,1.04664,0.0019315,0.0019315,0.0019315
165,30989.9,1.05779,0.5498,0.98858,0.87736,0.84542,0.9069,0.58379,1.20601,0.60829,1.04586,0.001882,0.001882,0.001882
166,31174.1,1.04496,0.54046,0.98232,0.87663,0.84224,0.90485,0.58268,1.20755,0.61005,1.0467,0.0018325,0.0018325,0.0018325
167,31358.9,1.04422,0.53746,0.98052,0.88214,0.83642,0.90269,0.58163,1.20709,0.60953,1.0462,0.001783,0.001783,0.001783
168,31543.7,1.03857,0.53825,0.98291,0.87824,0.83623,0.90185,0.58095,1.20875,0.60969,1.0474,0.0017335,0.0017335,0.0017335
169,31728.2,1.05088,0.54349,0.98968,0.8736,0.83748,0.90164,0.58172,1.20937,0.60981,1.04756,0.001684,0.001684,0.001684
170,31913.1,1.04116,0.54085,0.97858,0.86704,0.84648,0.90147,0.58203,1.21043,0.61142,1.04829,0.0016345,0.0016345,0.0016345
171,32097.4,1.04476,0.54459,0.98294,0.8577,0.85197,0.90161,0.58195,1.21224,0.61072,1.04815,0.001585,0.001585,0.001585
172,32282,1.02715,0.53611,0.97857,0.85813,0.85177,0.90127,0.58331,1.21259,0.61044,1.04914,0.0015355,0.0015355,0.0015355
173,32466.1,1.04198,0.53515,0.97848,0.86024,0.85369,0.90221,0.58226,1.21239,0.6099,1.04889,0.001486,0.001486,0.001486
174,32650.8,1.02498,0.5359,0.98299,0.86127,0.85019,0.90179,0.58176,1.21218,0.61087,1.0493,0.0014365,0.0014365,0.0014365
175,32835.3,1.03559,0.54346,0.98075,0.86321,0.84701,0.90114,0.58059,1.21342,0.61207,1.05068,0.001387,0.001387,0.001387
176,33019.9,1.03818,0.53399,0.97696,0.86108,0.84648,0.90093,0.58025,1.21415,0.61185,1.05109,0.0013375,0.0013375,0.0013375
177,33204.8,1.01216,0.5177,0.97166,0.86295,0.84595,0.90028,0.57982,1.21608,0.61303,1.05224,0.001288,0.001288,0.001288
178,33389.7,1.01476,0.52406,0.97607,0.8724,0.8397,0.90118,0.57926,1.21568,0.61163,1.05248,0.0012385,0.0012385,0.0012385
179,33575,1.02255,0.52592,0.97583,0.87377,0.83854,0.90152,0.57984,1.21559,0.61045,1.05197,0.001189,0.001189,0.001189
180,33759.7,1.01826,0.52301,0.97388,0.88018,0.83325,0.90175,0.58042,1.21477,0.61231,1.05103,0.0011395,0.0011395,0.0011395
181,33945,1.01821,0.52266,0.9773,0.87049,0.83975,0.90131,0.58135,1.21644,0.61323,1.05076,0.00109,0.00109,0.00109
182,34130.1,1.01179,0.52303,0.96848,0.87074,0.84156,0.90171,0.58188,1.21616,0.61469,1.05041,0.0010405,0.0010405,0.0010405
183,34314.4,1.00091,0.51914,0.96533,0.86256,0.84913,0.90032,0.58012,1.21662,0.61414,1.05059,0.000991,0.000991,0.000991
184,34499.8,1.00812,0.52389,0.97785,0.86087,0.8523,0.90181,0.58067,1.21796,0.61516,1.05204,0.0009415,0.0009415,0.0009415
